CnBio_Org_Name,Number and Street,CnAdrPrf_Addrline2,CnAdrPrf_City,CnAdrPrf_State,Postcode,Block-Lot,Primary,Secondary,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Bingo Deli,77 Pearl Street,1st Floor,New York,NY,10004,29-22,Casual Eating & Takeout,F-Deli,MANHATTAN,40.703954,-74.010297,1,1,9,1000836,1000290022,Battery Park City-Lower Manhattan                                          
Terrace Fish & Chip,77 Pearl Street,,New York,NY,10004,29-22,Casual Eating & Takeout,F-Seafood,MANHATTAN,40.703954,-74.010297,1,1,9,1000836,1000290022,Battery Park City-Lower Manhattan                                          
Ruben's Empanadas,77 Pearl Street,,New York,NY,10004,29-22,Casual Eating & Takeout,F-Argentinian,MANHATTAN,40.703954,-74.010297,1,1,9,1000836,1000290022,Battery Park City-Lower Manhattan                                          
Pizza Pizza NYC,77 Pearl Street,,New York,NY,10004,29-22,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.703954,-74.010297,1,1,9,1000836,1000290022,Battery Park City-Lower Manhattan                                          
Burger Burger,77 Pearl Street,,New York,NY,10004,29-22,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.703954,-74.010297,1,1,9,1000836,1000290022,Battery Park City-Lower Manhattan                                          
Waterstone Grill,79 Pearl Street,,New York,NY,10004,29-23,Full Service Dining,F-American,MANHATTAN,40.703987,-74.01025,1,1,9,1000837,1000290023,Battery Park City-Lower Manhattan                                          
Beckett's,81 Pearl Street,,New York,NY,10004,29-24,Full Service Dining,F-Restaurant & Bar,MANHATTAN,40.704023,-74.0102,1,1,9,1000838,1000290024,Battery Park City-Lower Manhattan                                          
Mad Dog & Beans,83 Pearl Street,,New York,NY,10004,29-25,Full Service Dining,F-Mexican,MANHATTAN,40.704056,-74.010153,1,1,9,1078964,1000290025,Battery Park City-Lower Manhattan                                          
Stone Street Tavern,52 Stone Street,,New York,NY,10004,29-27,Full Service Dining,F-Restaurant & Bar,MANHATTAN,40.704399,-74.010225,1,1,9,1077219,1000290026,Battery Park City-Lower Manhattan                                          
Adrienne's Pizza Bar,54 Stone Street,,New York,NY,10004,29-27,Full Service Dining,F-Pizza,MANHATTAN,40.704415,-74.010203,1,1,9,1000000,1000297504,Battery Park City-Lower Manhattan                                          
Harry's Cafe/Harry's Steak,1 Hanover Square,,New York,NY,10004,29-33,Full Service Dining,F-Steak,MANHATTAN,40.704646,-74.009608,1,1,9,1000841,1000297502,Battery Park City-Lower Manhattan                                          
Bayard's,1 Hanover Square,,New York,NY,10004,29-33,Casual Eating & Takeout,F-Catering,MANHATTAN,40.704646,-74.009608,1,1,9,1000841,1000297502,Battery Park City-Lower Manhattan                                          
Ulysses',95 Pearl Street,,New York,NY,10004,29-33,Casual Eating & Takeout,F-Seafood,MANHATTAN,40.704259,-74.009861,1,1,9,1000841,1000297502,Battery Park City-Lower Manhattan                                          
Financier Patisserie,62 Stone Street,,New York,NY,10004,29-33,Casual Eating & Takeout,F-Bakery,MANHATTAN,40.704574,-74.010012,1,1,9,1000841,1000297502,Battery Park City-Lower Manhattan                                          
Vintry Wine & Whiskey,57 Stone Street,,New York,NY,10004,29-45,Full Service Dining,F-Wine Bar,MANHATTAN,40.704443,-74.0102,1,1,9,1000843,1000290045,Battery Park City-Lower Manhattan                                          
Royal Wine Merchants,13 South William Street,,New York,NY,10004,29-45,Shopping,S-Liquor Store,MANHATTAN,40.704638,-74.01051,1,1,9,1000843,1000290045,Battery Park City-Lower Manhattan                                          
Smorgas Chef,53 Stone Street,,New York,NY,10004,29-47,Full Service Dining,F-Scandinavian,MANHATTAN,40.704407,-74.010247,1,1,9,1000845,1000290047,Battery Park City-Lower Manhattan                                          
Crepes Du Nord,17 South William Street,,New York,NY,10004,29-47,Full Service Dining,F-French,MANHATTAN,40.704572,-74.010622,1,1,9,1000845,1000290047,Battery Park City-Lower Manhattan                                          
The Dubliner,45 Stone Street,,New York,NY,10004,29-49,Full Service Dining,F-Restaurant & Bar,MANHATTAN,40.704338,-74.01034,1,1,9,1087244,1000297503,Battery Park City-Lower Manhattan                                          
Wong's Custom Tailor,28 South William Street,,New York,NY,10004,29-70,Personal and Professional Services,P-Tailoring,MANHATTAN,40.704421,-74.010997,1,1,9,1000849,1000290070,Battery Park City-Lower Manhattan                                          
Wachovia ATM,75 Broad Street,,New York,NY,10004,29-70,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.704487,-74.011556,1,1,9,1000849,1000290070,Battery Park City-Lower Manhattan                                          
Duane Reade,75 Broad Street,,New York,NY,10004,29-70,Shopping,S-Drugstores,MANHATTAN,40.704487,-74.011556,1,1,9,1000849,1000290070,Battery Park City-Lower Manhattan                                          
Delmonico's Steakhouse,56 Beaver Street,,New York,NY,10004,29-82,Full Service Dining,F-Steak,MANHATTAN,40.705115,-74.010286,1,1,9,1078999,1000297501,Battery Park City-Lower Manhattan                                          
Best Shoe Repair,48 Beaver Street,,New York,NY,10004,29-82,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.70509,-74.010607,1,1,9,1078997,1000297501,Battery Park City-Lower Manhattan                                          
Barber Shop,48 Beaver Street,,New York,NY,10004,29-82,Personal and Professional Services,P-Hair Salon & Barber Shop,MANHATTAN,40.70509,-74.010607,1,1,9,1078997,1000297501,Battery Park City-Lower Manhattan                                          
Diwan E. Khaas,26 South William Street,,New York,NY,10004,29-86,Casual Eating & Takeout,F-Indian,MANHATTAN,40.704498,-74.010809,1,1,9,1000851,1000290086,Battery Park City-Lower Manhattan                                          
No. 1 Little House,10 South William Street,,New York,NY,10004,29-86,Full Service Dining,F-Chinese,MANHATTAN,40.704671,-74.010488,1,1,9,1000851,1000290086,Battery Park City-Lower Manhattan                                          
Oggi Hair Salon & Nail Spa,2 Coenties Slip,,New York,NY,10004,30-1,Personal and Professional Services,P-Hair Salon & Barber Shop,MANHATTAN,40.703636,-74.010589,1,1,9,1079001,1000300001,Battery Park City-Lower Manhattan                                          
L'Atelier Des Fleurs Floral & Event Design,74 Pearl Street,,New York,NY,10004,30-1,Shopping,S-Florist,MANHATTAN,40.703784,-74.01051,1,1,9,1079001,1000300001,Battery Park City-Lower Manhattan                                          
Eastern Newsstands,7 Hanover Square,,New York,NY,10005,30-19,Personal and Professional Services,P-Newsstands,MANHATTAN,40.70447,-74.009406,1,1,9,1000855,1000300019,Battery Park City-Lower Manhattan                                          
L & M Pearl Cleaners,7 Hanover Square,,New York,NY,10004,30-19,Personal and Professional Services,P-Dry Cleaning,MANHATTAN,40.70447,-74.009406,1,1,9,1000855,1000300019,Battery Park City-Lower Manhattan                                          
Diamond's Hallmark,7 Hanover Square,,New York,NY,10004,30-19,Shopping,"S-Gifts, Cards & Stationery",MANHATTAN,40.70447,-74.009406,1,1,9,1000855,1000300019,Battery Park City-Lower Manhattan                                          
Esther's Shoe Repair,7 Hanover Square,,New York,NY,10004,30-19,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.70447,-74.009406,1,1,9,1000855,1000300019,Battery Park City-Lower Manhattan                                          
Optical Insight,7 Hanover Square,,New York,NY,10004,30-19,Shopping,S-Glasses & Sunglasses,MANHATTAN,40.70447,-74.009406,1,1,9,1000855,1000300019,Battery Park City-Lower Manhattan                                          
Mark Wilkinson Furniture,7 Hanover Square,,New York,NY,10004,30-19,Shopping,S-Home Furnishings & Decor,MANHATTAN,40.70447,-74.009406,1,1,9,1000855,1000300019,Battery Park City-Lower Manhattan                                          
Myoptics Opticians,7 Hanover Square,,New York,NY,10004,30-19,Shopping,S-Glasses & Sunglasses,MANHATTAN,40.70447,-74.009406,1,1,9,1000855,1000300019,Battery Park City-Lower Manhattan                                          
Pearl Hairstyling Salon,76 Pearl Street,,New York,NY,10004,30-3,Personal and Professional Services,P-Hair Salon & Barber Shop,MANHATTAN,40.703907,-74.010333,1,1,9,1000852,1000300003,Battery Park City-Lower Manhattan                                          
Nu Sushi,76 Pearl Street,,New York,NY,10004,30-3,Casual Eating & Takeout,F-Japanese,MANHATTAN,40.703907,-74.010333,1,1,9,1000852,1000300003,Battery Park City-Lower Manhattan                                          
Da Vinci Pizza,44 Water Street,,New York,NY,10004,30-32,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.703468,-74.01003,1,1,9,1000856,1000300032,Battery Park City-Lower Manhattan                                          
All American Water Street Deli,42 Water Street,,New York,NY,,30-33,Casual Eating & Takeout,F-Deli,,,,,,,,,
AT&T,40 Water Street,,New York,NY,10004,30-34,Shopping,S-Cellular Phones,MANHATTAN,40.703397,-74.010149,1,1,9,1000858,1000300034,Battery Park City-Lower Manhattan                                          
King's Custom Tailoring,40 Water Street,,New York,NY,10004,30-34,Personal and Professional Services,P-Tailoring,MANHATTAN,40.703397,-74.010149,1,1,9,1000858,1000300034,Battery Park City-Lower Manhattan                                          
Fresco on the Go,114 Pearl Street,,New York,NY,10005,31-1,Casual Eating & Takeout,F-Continental,MANHATTAN,40.704638,-74.009251,1,1,7,1000859,1000310001,Battery Park City-Lower Manhattan                                          
The Original Soupman,110 Pearl Street,,New York,NY,10005,31-1,Casual Eating & Takeout,F-Soup,MANHATTAN,40.704572,-74.009363,1,1,7,1000859,1000310001,Battery Park City-Lower Manhattan                                          
Apple Bank for Savings,10 Hanover Square,,New York,NY,10005,31-1,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.704328,-74.00923,1,1,7,1000859,1000310001,Battery Park City-Lower Manhattan                                          
Starbucks Coffee,110 Pearl Street,,New York,NY,10005,31-1,Casual Eating & Takeout,F-Coffeehouse,MANHATTAN,40.704572,-74.009363,1,1,7,1000859,1000310001,Battery Park City-Lower Manhattan                                          
Mercantile Grill,126 Pearl Street,,New York,NY,10005,31-10,Full Service Dining,F-American,MANHATTAN,40.704926,-74.00875,1,1,7,1000860,1000310010,Battery Park City-Lower Manhattan                                          
Bar Seven Five,75 Wall Street,,New York,NY,10005,31-11,Nightlife,N-Bar,MANHATTAN,40.705486,-74.007874,1,1,7,1085950,1000317501,Battery Park City-Lower Manhattan                                          
Wall & Water,75 Wall Street,,New York,NY,10005,31-11,Full Service Dining,F-American,MANHATTAN,40.705486,-74.007874,1,1,7,1085950,1000317501,Battery Park City-Lower Manhattan                                          
Chase Bank,55 Water Street,,New York,NY,10041,32-7501,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.703597,-74.009781,1,1,9,1083346,1000327501,Battery Park City-Lower Manhattan                                          
Downtown Manhattan Candy Store,77 Water Street,,New York,NY,10005,33-1,Shopping,S-Candy & Chocolate,MANHATTAN,40.704275,-74.008681,1,1,7,1000863,1000330001,Battery Park City-Lower Manhattan                                          
Duane Reade,95 Wall Street,,New York,NY,10005,33-11,Shopping,S-Drugstores,,,,,,,,,
Bolton's,95 Wall Street,,New York,NY,10005,33-11,Shopping,S-Apparel: Women's,,,,,,,,,
T-Mobile,99 Wall Street,,New York,NY,10005,33-22,Shopping,S-Cellular Phones,MANHATTAN,40.705,-74.007156,1,1,7,1000865,1000337501,Battery Park City-Lower Manhattan                                          
"Kamlesh, Inc.",111 Wall Street,,New York,NY,10005,35-10,Personal and Professional Services,P-Newsstands,MANHATTAN,40.704553,-74.006636,1,1,7,1000868,1000350010,Battery Park City-Lower Manhattan                                          
Koodo Sushi,55 Liberty Street,,New York,NY,10005,37-23,Full Service Dining,F-Japanese,MANHATTAN,40.708692,-74.009508,1,1,1502,1001084,1000640008,Battery Park City-Lower Manhattan                                          
FedEx,110 Wall Street,,New York,NY,10005,37-8,Personal and Professional Services,P-Packaging/Shipping,MANHATTAN,40.704638,-74.006694,1,1,7,1000872,1000370008,Battery Park City-Lower Manhattan                                          
Verizon Wireless,100 Wall Street,,New York,NY,10005,38-1,Shopping,S-Cellular Phones,MANHATTAN,40.70497,-74.007084,1,1,7,1000875,1000380001,Battery Park City-Lower Manhattan                                          
Starbucks Coffee,100 Wall Street,,New York,NY,10005,38-1,Casual Eating & Takeout,F-Coffeehouse,MANHATTAN,40.70497,-74.007084,1,1,7,1000875,1000380001,Battery Park City-Lower Manhattan                                          
Fed Ex Kinko's,100 Wall Street,,New York,NY,10005,38-1,Personal and Professional Services,P-Copy and Printing Services,MANHATTAN,40.70497,-74.007084,1,1,7,1000875,1000380001,Battery Park City-Lower Manhattan                                          
Apple Bank for Savings,88 Pine Street,,New York,NY,10005,38-17,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.70536,-74.00629,1,1,7,1000876,1000380017,Battery Park City-Lower Manhattan                                          
AT&T,82 Wall Street,,New York,NY,10038,39-1,Shopping,S-Cellular Phones,MANHATTAN,40.705415,-74.007729,1,1,7,1000877,1000390001,Battery Park City-Lower Manhattan                                          
Hirsute Salon,82 Wall Street,,New York,NY,10005,39-1,Personal and Professional Services,P-Hair Salon & Barber Shop,MANHATTAN,40.705415,-74.007729,1,1,7,1000877,1000390001,Battery Park City-Lower Manhattan                                          
Pine Street Nuts & Candy,79 Pine Street,,New York,NY,10005,39-1001,Shopping,S-Candy & Chocolate,MANHATTAN,40.705931,-74.007275,1,1,7,1000884,1000397501,Battery Park City-Lower Manhattan                                          
Wall Street Wine Merchant,79 Pine Street,,New York,NY,10005,39-1001,Shopping,S-Liquor Store,MANHATTAN,40.705931,-74.007275,1,1,7,1000884,1000397501,Battery Park City-Lower Manhattan                                          
Shinju Sushi,164 Pearl Street,,New York,NY,10005,39-1001,Casual Eating & Takeout,F-Japanese,MANHATTAN,40.70587,-74.007617,1,1,7,1000884,1000397501,Battery Park City-Lower Manhattan                                          
Cafe Water,130 Water Street,,New York,NY,10038,39-1001,Casual Eating & Takeout,F-Deli,MANHATTAN,40.705522,-74.006929,1,1,7,1000884,1000397501,Battery Park City-Lower Manhattan                                          
Lane Jewelers,79 Pine Street,,New York,NY,10005,39-1001,Shopping,S-Jeweler,MANHATTAN,40.705931,-74.007275,1,1,7,1000884,1000397501,Battery Park City-Lower Manhattan                                          
Rose Hair Salon,79 Pine Street,,New York,NY,,39-1001,Personal and Professional Services,P-Hair Salon & Barber Shop,,,,,,,,,
Pine Street Cleaners,164 Pearl Street,,New York,NY,10005,39-1001,Personal and Professional Services,P-Dry Cleaning,MANHATTAN,40.70587,-74.007617,1,1,7,1000884,1000397501,Battery Park City-Lower Manhattan                                          
Telestar Locksmiths II,79 Pine Street,,New York,NY,10005,39-1001,Personal and Professional Services,P-Hardware & Locksmiths,MANHATTAN,40.705931,-74.007275,1,1,7,1000884,1000397501,Battery Park City-Lower Manhattan                                          
Vietnamese Sandwiches,164 Pearl Street,,New York,NY,10005,39-1001,Casual Eating & Takeout,F-Vietnamese,MANHATTAN,40.70587,-74.007617,1,1,7,1000884,1000397501,Battery Park City-Lower Manhattan                                          
The Mailroom,79 Pine Street,,New York,NY,10005,39-1001,Personal and Professional Services,P-Packaging/Shipping,MANHATTAN,40.705931,-74.007275,1,1,7,1000884,1000397501,Battery Park City-Lower Manhattan                                          
Au Bon Pain,80 Pine Street,,New York,NY,10005,39-12,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.705892,-74.007181,1,1,7,1000880,1000390012,Battery Park City-Lower Manhattan                                          
Starbucks Coffee,80 Pine Street,,New York,NY,10005,39-12,Casual Eating & Takeout,F-Coffeehouse,MANHATTAN,40.705892,-74.007181,1,1,7,1000880,1000390012,Battery Park City-Lower Manhattan                                          
Flowers of the World,80 Pine Street,,New York,NY,10005,39-12,Shopping,S-Florist,MANHATTAN,40.705892,-74.007181,1,1,7,1000880,1000390012,Battery Park City-Lower Manhattan                                          
Hale and Hearty Soup,110 Maiden Lane,,New York,NY,10005,39-12,Casual Eating & Takeout,F-Soup,MANHATTAN,40.7066,-74.006633,1,1,7,1000880,1000390012,Battery Park City-Lower Manhattan                                          
The Pump,80 Pine Street,,New York,NY,10005,39-12,Casual Eating & Takeout,F-Health,MANHATTAN,40.705892,-74.007181,1,1,7,1000880,1000390012,Battery Park City-Lower Manhattan                                          
Cafe Wall Street,80 Wall Street,,New York,NY,10005,39-4,Casual Eating & Takeout,F-Deli,MANHATTAN,40.705456,-74.007794,1,1,7,1000878,1000390004,Battery Park City-Lower Manhattan                                          
Niko Niko Sushi & Bowl,80 Wall Street,,New York,NY,10005,39-4,Casual Eating & Takeout,F-Japanese,MANHATTAN,40.705456,-74.007794,1,1,7,1000878,1000390004,Battery Park City-Lower Manhattan                                          
Subway,122 Water Street,,New York,NY,10005,39-40,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.705343,-74.007181,1,1,7,1000882,1000390040,Battery Park City-Lower Manhattan                                          
Sprint,120 Water Street,,New York,NY,10005,39-41,Shopping,S-Cellular Phones,MANHATTAN,40.705299,-74.007242,1,1,7,1000883,1000390041,Battery Park City-Lower Manhattan                                          
Trinity Smoke,160 Pearl Street,,New York,NY,10005,39-6,Shopping,S-Cigars,MANHATTAN,40.705769,-74.007718,1,1,7,1000879,1000390006,Battery Park City-Lower Manhattan                                          
The Full Shilling,160 Pearl Street,,New York,NY,10005,39-6,Full Service Dining,F-Irish Pub,MANHATTAN,40.705769,-74.007718,1,1,7,1000879,1000390006,Battery Park City-Lower Manhattan                                          
Museum of American Finance Gift Shop,48 Wall Street,,New York,NY,10004,40-1,Shopping,"S-Gifts, Cards & Stationery",MANHATTAN,40.706331,-74.009396,1,1,7,1001005,1000400014,Battery Park City-Lower Manhattan                                          
William's Restaurant & Bar,52 William Street,,New York,NY,10005,40-16,Full Service Dining,F-Restaurant & Bar,MANHATTAN,40.706773,-74.009143,1,1,7,1001006,1000400016,Battery Park City-Lower Manhattan                                          
Martin News,60 Wall Street,Atrium,New York,NY,10005,40-3,Personal and Professional Services,P-Newsstands,MANHATTAN,40.705914,-74.008609,1,1,7,1001004,1000400003,Battery Park City-Lower Manhattan                                          
Country Cafe,60 Wall Street,Atrium,New York,NY,10005,40-3,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.705914,-74.008609,1,1,7,1001004,1000400003,Battery Park City-Lower Manhattan                                          
Le Glacier,60 Wall Street,Atrium,New York,NY,10005,40-3,Casual Eating & Takeout,F-Coffeehouse,MANHATTAN,40.705914,-74.008609,1,1,7,1001004,1000400003,Battery Park City-Lower Manhattan                                          
Cobbler Express,60 Wall Street,,New York,NY,10005,40-3,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.705914,-74.008609,1,1,7,1001004,1000400003,Battery Park City-Lower Manhattan                                          
The Ketch,181 Pearl Street,,New York,NY,10270,41-1,Full Service Dining,F-Seafood,MANHATTAN,40.706268,-74.00725,1,1,7,1001007,1000417504,Battery Park City-Lower Manhattan                                          
Gift Works Boutique,70 Pine Street,,New York,NY,10270,41-1,Shopping,S-Jeweler,MANHATTAN,40.706315,-74.007895,1,1,7,1001007,1000417504,Battery Park City-Lower Manhattan                                          
Country Bakery Cafe,70 Pine Street,,New York,NY,10270,41-1,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.706315,-74.007895,1,1,7,1001007,1000417504,Battery Park City-Lower Manhattan                                          
Ise Japanese Restaurant,56 Pine Street,,New York,NY,10005,41-19,Full Service Dining,F-Japanese,MANHATTAN,40.706606,-74.008404,1,1,7,1001009,1000417503,Battery Park City-Lower Manhattan                                          
Diwan E. Khaas,26 Cedar Street,,New York,NY,10005,41-19,Casual Eating & Takeout,F-Indian,MANHATTAN,40.706965,-74.008072,1,1,7,1001009,1000417503,Battery Park City-Lower Manhattan                                          
Taz Cafe,54 Pine Street,,New York,NY,10005,41-20,Casual Eating & Takeout,F-Deli,MANHATTAN,40.706647,-74.008476,1,1,7,1001010,1000417502,Battery Park City-Lower Manhattan                                          
Koyzina Kafe,62 William Street,,New York,NY,10005,41-24,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.707166,-74.008793,1,1,7,1001013,1000410024,Battery Park City-Lower Manhattan                                          
Yip's Oriental Express,32 Cedar Street,Lower Level,New York,NY,10005,41-24,Casual Eating & Takeout,F-Chinese,MANHATTAN,40.707078,-74.008249,1,1,7,1001013,1000410024,Battery Park City-Lower Manhattan                                          
HSBC,100 Maiden Lane,,New York,NY,10038,42-1,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.706867,-74.00699,1,1,7,1001014,1000420001,Battery Park City-Lower Manhattan                                          
Chipotle,100 Maiden Lane,,New York,NY,10038,42-1,Casual Eating & Takeout,F-Mexican,MANHATTAN,40.706867,-74.00699,1,1,7,1001014,1000420001,Battery Park City-Lower Manhattan                                          
Subway,100 Maiden Lane,,New York,NY,10038,42-1,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.706867,-74.00699,1,1,7,1001014,1000420001,Battery Park City-Lower Manhattan                                          
Dunkin Donuts,100 Maiden Lane,,New York,NY,10038,42-1,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.706867,-74.00699,1,1,7,1001014,1000420001,Battery Park City-Lower Manhattan                                          
Just Salad,100 Maiden Lane,,New York,NY,10038,42-1,Casual Eating & Takeout,F-Health,MANHATTAN,40.706867,-74.00699,1,1,7,1001014,1000420001,Battery Park City-Lower Manhattan                                          
Financier Patisserie,35 Cedar Street,,New York,NY,10005,42-22,Casual Eating & Takeout,F-Bakery,MANHATTAN,40.707166,-74.008353,1,1,7,1086256,1000420022,Battery Park City-Lower Manhattan                                          
Liberatos Pizza,17 Cedar Street,,New York,NY,10038,42-31,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.706828,-74.007823,1,1,7,1001015,1000420031,Battery Park City-Lower Manhattan                                          
Duane Reade,80 Maiden Lane,,New York,NY,10038,42-31,Shopping,S-Drugstores,MANHATTAN,40.707116,-74.007329,1,1,7,1001015,1000420031,Battery Park City-Lower Manhattan                                          
Dijon,80 Maiden Lane,,New York,NY,10038,42-31,Shopping,S-Apparel: Women's,MANHATTAN,40.707116,-74.007329,1,1,7,1001015,1000420031,Battery Park City-Lower Manhattan                                          
Divesh News,80 Maiden Lane,Lobby,New York,NY,10038,42-31,Personal and Professional Services,P-Newsstands,MANHATTAN,40.707116,-74.007329,1,1,7,1001015,1000420031,Battery Park City-Lower Manhattan                                          
Koyzina Grill,25 Cedar Street,,New York,NY,10005,42-31,Casual Eating & Takeout,F-American,MANHATTAN,40.706976,-74.008058,1,1,7,1001015,1000420031,Battery Park City-Lower Manhattan                                          
Kafe Neo,80 Maiden Lane,,New York,NY,10038,42-31,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.707116,-74.007329,1,1,7,1001015,1000420031,Battery Park City-Lower Manhattan                                          
Gristedes Supermarket,90 Maiden Lane,,New York,NY,10038,42-36,Shopping,F-Supermarket,MANHATTAN,40.70699,-74.00716,1,1,7,1001016,1000420036,Battery Park City-Lower Manhattan                                          
"S.M.S. Industries, Inc.",80 Maiden Lane,,New York,NY,10038,42-36,Personal and Professional Services,P-Messengers,MANHATTAN,40.707116,-74.007329,1,1,7,1001015,1000420031,Battery Park City-Lower Manhattan                                          
Duane Reade,45 Pine Street,,New York,NY,10005,43-1,Shopping,S-Drugstores,MANHATTAN,40.707048,-74.00919,1,1,7,1000000,1000430001,Battery Park City-Lower Manhattan                                          
NCIC Computer Consulting,44 Wall Street,,New York,NY,10005,43-1,Personal and Professional Services,P-Computer Services,MANHATTAN,40.70654,-74.009738,1,1,7,1001017,1000430001,Battery Park City-Lower Manhattan                                          
Kenjo Jewelers,40 Wall Street,,New York,NY,10005,43-2,Shopping,S-Jeweler,MANHATTAN,40.706625,-74.009875,1,1,7,1001018,1000430002,Battery Park City-Lower Manhattan                                          
New York Sports Club,30 Wall Street,,New York,NY,10005,43-5,Personal and Professional Services,P-Athletic Clubs/Fitness,MANHATTAN,40.706839,-74.010218,1,1,7,1001019,1000430005,Battery Park City-Lower Manhattan                                          
Chase Bank,1 Chase Manhattan Plaza,Lower Level,New York,NY,10005,44-1,Personal and Professional Services,P-Banks and Check Cashing,,,,,,,,,
Wall Street Shoe,1 Chase Manhattan Plaza,,New York,NY,,44-1,Personal and Professional Services,P-Shoe Repair/Shine,,,,,,,,,
TD Bank,2 Wall Street,,New York,NY,10005,46-1,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.707725,-74.011632,1,1,7,1001023,1000460001,Battery Park City-Lower Manhattan                                          
Border's Books and Music,100 Broadway,,New York,NY,10005,46-3,Shopping,S-Bookstores,MANHATTAN,40.70814,-74.011373,1,1,7,1001024,1000460003,Battery Park City-Lower Manhattan                                          
14 Wall Street Jewelers,14 Wall Street,2nd Floor,New York,NY,10005,46-9,Shopping,S-Jeweler,MANHATTAN,40.707347,-74.010997,1,1,7,1001025,1000460009,Battery Park City-Lower Manhattan                                          
Shiv Supplies,14 Wall Street,Lobby,New York,NY,,46-9,Personal and Professional Services,P-Newsstands,,,,,,,,,
Equinox Fitness Club,14 Wall Street,,New York,NY,10005,46-9,Personal and Professional Services,P-Athletic Clubs/Fitness,MANHATTAN,40.707347,-74.010997,1,1,7,1001025,1000460009,Battery Park City-Lower Manhattan                                          
True Religion Brand Jeans,14 Wall Street,,New York,NY,10005,46-9,Shopping,S-Apparel: Men's & Women's,MANHATTAN,40.707347,-74.010997,1,1,7,1001025,1000460009,Battery Park City-Lower Manhattan                                          
Equitable Hairstylist,120 Broadway,Lower Level,New York,NY,10271,47-1,Personal and Professional Services,P-Hair Salon & Barber Shop,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
Valley National Bank,120 Broadway,,New York,NY,10271,47-1,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
Ashby's,120 Broadway,,New York,NY,10271,47-1,Casual Eating & Takeout,F-Deli,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
HSBC,120 Broadway,,New York,NY,10271,47-1,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
Little Lads Basket Cafe,120 Broadway,Lower Level,New York,NY,,47-1,Casual Eating & Takeout,F-Vegetarian,,,,,,,,,
Harry & Son Shoe Shine,120 Broadway,Lower Arcade,New York,NY,10271,47-1,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
Manon Cafe,120 Broadway,,New York,NY,10271,47-1,Casual Eating & Takeout,F-Coffeehouse,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
Travel Network,120 Broadway,,New York,NY,10271,47-1,Personal and Professional Services,P-Travel Agency,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
Eastern Newsstand,120 Broadway,Lobby,New York,NY,10271,47-1,Personal and Professional Services,P-Newsstands,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
Charles Patrick Jewelers,120 Broadway,Lobby,New York,NY,10271,47-1,Shopping,S-Jeweler,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
The Capital Grille,120 Broadway,,New York,NY,10271,47-1,Full Service Dining,F-Steak,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
Citibank,120 Broadway,,New York,NY,10271,47-7501,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
